company_id,industry,products_handled,certifications,explicit_sourcing,topic_surge,pricing_visits,review_visits,job_postings,import_gaps,trigger_events,active_contract,hiring_freeze,financial_distress,days_since_last_signal,distinct_stakeholders,stakeholder_seniority
98811462-cfde-42be-8e9d-a1e84f750962,Retail,Electronics|Carpets|Ashwagandha,,,3,7,0,,Yes,,No,No,No,15,1,0.82
8f615aad-cb81-48b4-83e4-963682d5aeab,Healthcare,Rice,,,0,0,0,,No,,No,No,No,175,1,0.75
70e71ca8-738f-4e72-9e8e-68aea3216d13,E-commerce,Textiles|Turmeric,,,0,0,0,,No,,No,No,No,165,3,0.75
331be5e5-95ac-4608-8c7c-67908355a73e,Wholesale,Rice,,,0,0,0,,No,,No,No,No,111,1,0.92
046fa1f1-7446-4a0e-a9af-98fb3515fb33,Healthcare,Spices|Ashwagandha|Carpets,,,0,12,0,,No,,Yes,No,No,69,1,0.61
f733f314-77e4-4ae1-a5d3-81a482c598b1,Retail,Spices|Quilts|Rice,FDA Approved,,1,8,0,Procurement Manager,Yes,,No,No,No,59,5,0.68
bc28cd10-8571-48d7-a00d-9fae0008fb4a,Construction,Quilts,Organic Certified|Fair Trade,,0,0,9,,Yes,Funding round,No,No,No,21,5,0.48
a69d0a63-b388-4c70-b8ae-5845628de53f,E-commerce,Electronics|Quilts|Turmeric,,,4,20,0,,No,Funding round,No,No,No,52,1,0.58
5db07c19-71e0-46f8-9c0e-98ea63cb9838,Manufacturing,Quilts|Turmeric,,,2,3,0,,Yes,,No,No,No,33,5,0.79
50fed773-f08f-417e-8fe2-0d5cf0687980,Construction,Textiles|Rice,WHO-GMP,,5,0,1,,No,,No,No,No,164,1,0.6
9f004b86-0ed8-4a23-8b98-8fcb182e86f7,E-commerce,Textiles|Rice,,,0,0,0,,No,,No,No,No,82,2,0.86
8f556913-cb80-47ec-b371-469804108ce3,E-commerce,Textiles|Spices,,RFP published,3,6,0,,No,,No,No,No,9,2,0.6
8f44a040-79a8-4759-8cad-6752e232a372,Wholesale,Rice,,,0,0,5,Procurement Manager,No,,No,Yes,No,175,1,0.92
f5b80feb-3fd1-4f7e-92c4-658f2d39933c,Healthcare,Ashwagandha,,Quote requested,2,0,0,,No,New facility,No,No,No,173,1,0.49
b9676e7b-cfa8-49ef-8c29-c88135ba2deb,Wholesale,Blankets|Turmeric|Textiles,WHO-GMP,,2,20,2,Logistics Head,No,M&A,Yes,No,No,69,1,0.95
4e1270c0-6a9e-4930-a727-9957baba5897,Manufacturing,Spices|Turmeric,,,2,0,5,,No,M&A,No,No,No,125,5,0.76
e7771f76-08ab-4bbb-9e18-683eda29295e,Construction,Ashwagandha|Textiles,WHO-GMP,,5,7,0,,No,New facility,No,No,No,30,1,0.81
bd68a4a0-bec4-4f80-a897-7202f3b9393f,Construction,Quilts,,,0,0,0,,No,,No,No,No,53,1,0.84
06d52a15-5413-4759-ba02-7ba85c7c415c,Healthcare,Ashwagandha,,,0,0,7,,No,,No,No,No,32,1,0.44
b8aa2b58-da02-48cf-8b32-3f7d683f7e7a,Construction,Quilts|Carpets|Blankets,,,0,0,0,Procurement Manager,No,,No,No,No,197,1,0.46
8c76a9ab-43e2-476a-86f5-28afb18ae024,Retail,Blankets|Ashwagandha,Organic Certified|ISO 9001,,0,0,3,,No,M&A,No,No,No,26,2,0.99
84e9f6ff-227a-45fc-8303-10154c7adeb1,Retail,Quilts|Rice|Turmeric,Organic Certified|FDA Approved,RFP published,3,3,2,Procurement Manager,Yes,New facility,No,No,No,14,4,0.42
63483fe2-5a9c-4cd9-9685-a6861e14bb28,Construction,Quilts,,,0,0,0,,No,Funding round,Yes,Yes,No,109,1,0.49
28e06a13-2074-4d46-88fa-3148df446423,E-commerce,Blankets,,,0,0,0,,No,,No,No,No,92,2,0.5
286a126f-d0cc-425d-94cd-02f4d5b2ecff,Healthcare,Spices,WHO-GMP|FDA Approved,,0,20,1,,No,,No,No,No,18,1,0.89
a96cf2ff-3914-4f71-88bf-49838797d5e1,Healthcare,Turmeric|Spices|Quilts,,,3,0,10,,Yes,,No,No,No,87,1,0.59
4797e0d5-502b-4338-b500-14fc49416de5,E-commerce,Ashwagandha,FDA Approved,,0,0,0,,No,M&A,Yes,No,No,133,1,0.44
f6d47881-146d-4963-a41f-1e199e8296f1,Retail,Electronics,,,0,8,0,,No,M&A,No,No,No,171,4,0.92
05043608-3ae5-4362-8a48-34eaee4e64f0,Healthcare,Rice|Spices,ISO 9001,,0,0,0,,No,,No,Yes,No,74,1,0.53
79ece75a-c189-4b55-bbf0-efca5b2ec5c3,Retail,Textiles,,,0,0,0,,No,Funding round,No,No,No,18,1,0.92
9ac5c714-b523-4d54-bbf1-af4b2cff7fd9,Distribution,Blankets|Turmeric,,,3,0,0,,No,,No,No,No,152,1,0.41
0f6fe599-6921-43bf-b164-477b34e80698,Manufacturing,Turmeric,,,0,0,0,,No,,No,No,No,138,1,0.57
903133c1-faf7-468a-8e0d-13be1b9f10f0,Retail,Rice|Carpets,Fair Trade,,0,17,0,,Yes,Funding round,No,No,No,6,4,0.77
9b4aa2bc-dd9e-40d9-9c62-b946a85552e9,Construction,Electronics|Spices|Carpets,,,0,0,0,,No,,No,No,No,119,1,0.82
16480772-4b4e-4ab7-a268-1e45a3b03c2e,Construction,Electronics,WHO-GMP,,0,0,0,,No,,No,No,No,8,1,0.55
538b2063-1d2f-4552-8aae-216a93f89b8d,E-commerce,Ashwagandha|Blankets|Quilts,,,1,7,9,Procurement Manager,No,New facility,No,No,No,29,1,0.64
31467035-efe7-4c57-a507-491500b87755,Healthcare,Textiles,Fair Trade,,0,0,9,,No,New facility,No,No,No,41,1,0.64
85f5d43c-8111-4e95-87a1-8f15abb66564,Manufacturing,Turmeric|Ashwagandha,,,1,0,0,Procurement Manager,No,Funding round,No,No,No,99,1,0.68
449a540d-0f76-4e10-b1c5-205dc839e010,Wholesale,Carpets|Blankets|Turmeric,ISO 9001,,0,14,0,,No,,No,No,No,24,1,0.94
29c11d10-d04a-40a4-9dae-d1399965d6ea,Healthcare,Carpets|Ashwagandha|Turmeric,WHO-GMP,,2,3,0,,No,New facility,No,No,No,24,1,0.58
4001cae2-3bc9-46fd-a8c0-92557cb46df9,Wholesale,Rice,,,0,17,0,,No,New facility,No,No,No,152,4,0.79
db2135ff-7824-40ed-ba02-60605017f724,Wholesale,Turmeric,,RFP published,2,18,0,Procurement Manager,No,,No,No,No,141,2,0.95
aa103524-f80c-4ab7-ae7d-d4ea1aa5f696,Healthcare,Carpets|Spices|Textiles,,,2,14,1,,Yes,,Yes,No,No,30,3,0.77
8d66f589-faa5-40c8-8e6f-c81fcca72015,Healthcare,Electronics|Spices|Textiles,,RFP published,0,18,6,Procurement Manager,Yes,New facility,No,No,No,79,1,0.98
88537dfc-15d3-42b4-94b0-89bdfe7e2da8,Wholesale,Textiles,,Quote requested,5,0,10,,No,New facility,No,No,No,25,3,0.96
186d8c79-4c6e-4d1e-ab22-c00640056da1,Wholesale,Electronics|Turmeric,FDA Approved,,0,0,0,,No,,No,No,No,111,1,0.84
80f553d6-a75b-4c7f-85bd-f1184ec48ce6,Retail,Turmeric|Rice|Ashwagandha,,,0,0,0,,Yes,,No,No,No,197,1,0.83
5ea8f403-dc53-4422-ac2c-e7cce96b0414,E-commerce,Rice|Electronics,,,0,0,0,,No,,No,No,No,88,1,0.56
1f6d9e0e-a3e2-4043-90f0-2455cd190a25,E-commerce,Spices,,,0,0,0,Logistics Head,No,,No,No,No,20,3,0.65
4637b2c2-5050-48e4-89f6-c451d4096220,Wholesale,Rice|Textiles,,,1,0,8,Procurement Manager,No,Funding round,No,Yes,No,1,1,0.56
3f91f021-6fed-48bd-8ae0-e3a166491b21,Manufacturing,Carpets,FDA Approved|Fair Trade,,2,0,0,,No,,No,No,No,121,1,0.83
f511c94e-385b-42ad-b159-a5850e1fc7cb,Distribution,Ashwagandha|Electronics,FDA Approved,,1,19,0,,No,,No,No,No,19,1,0.99
e9e21878-528a-4894-a4ef-dc4d2cae82c5,Manufacturing,Electronics|Spices|Ashwagandha,,,4,11,0,Procurement Manager,No,,No,No,No,156,1,0.92
b49d0dd6-4d0e-4cb8-a48c-4824f6f4cc68,Retail,Electronics|Carpets|Spices,,,0,0,0,,No,M&A,No,No,No,133,1,0.85
832adb47-a276-4deb-8146-0f4321063fd9,Wholesale,Blankets|Turmeric,,,0,11,0,,Yes,,No,No,No,4,1,0.71
10550f9b-09be-4375-b7a7-37c4605a28e8,E-commerce,Quilts|Ashwagandha|Carpets,,Quote requested,0,0,0,,No,,No,No,No,9,1,0.95
7f33e88e-b81d-40fa-82fc-d15e3a9148ae,Manufacturing,Turmeric,,,0,0,0,,No,New facility,No,No,No,129,5,0.94
6e67ff21-ecea-4057-9f4f-352e036ad64c,Healthcare,Turmeric|Blankets|Ashwagandha,,,0,5,0,,No,,No,No,No,11,1,0.5
e95f1f08-96fb-4184-9929-8f120ee32fbf,Retail,Electronics,Fair Trade,,1,0,9,,Yes,,No,No,No,194,4,0.87
acf98746-a09c-46c4-97b2-9e6208cc5b8c,Construction,Carpets,,Quote requested,0,0,1,Procurement Manager,No,,No,No,No,14,3,0.47
2509e6b2-2556-4c2e-8a03-f403609b8bce,Wholesale,Spices,,,0,10,0,,No,Funding round,No,No,No,2,1,0.55
afd71b8c-39c8-4149-ae20-ba697008bff0,E-commerce,Electronics|Ashwagandha|Quilts,,,0,14,0,Logistics Head,No,,No,No,Yes,3,1,0.92
79851dad-de02-4df4-90a9-dd6b257971d6,Healthcare,Electronics,,,0,0,0,,No,,No,No,No,26,1,0.43
af28bef6-258f-4e8c-8f00-f13d5804077f,Retail,Spices|Rice|Blankets,,,0,0,8,,No,M&A,No,No,No,166,3,0.45
f51c0bc7-7c8a-4623-a684-ffca62984c68,Wholesale,Carpets|Ashwagandha,,,0,0,0,,No,M&A,No,No,No,53,1,0.46
3561082c-cbb9-422f-aaa6-97013594b01e,Healthcare,Ashwagandha|Rice|Turmeric,FDA Approved|Organic Certified,Quote requested,3,0,8,Procurement Manager,No,New facility,No,No,No,28,1,0.78
47dc5ae8-d9a5-4a83-ad06-4ca67c4dcf30,Wholesale,Rice|Spices,,,0,18,0,Procurement Manager,No,,No,No,No,180,1,0.45
8a487596-ed71-45dd-aafb-bf7500602543,Distribution,Textiles|Blankets|Turmeric,,,0,10,0,,No,,Yes,No,No,89,1,0.44
ebf96dc0-f4ee-4112-be66-a5704f635605,E-commerce,Textiles|Turmeric,,Quote requested,0,7,7,,No,,No,No,No,68,1,0.42
2c90d956-a203-4500-8b6e-0990101224f4,E-commerce,Turmeric|Blankets,,,0,0,0,,No,,No,No,No,155,1,0.62
d78d7675-228d-4646-a416-e1c29b7c0d6b,Manufacturing,Turmeric|Rice,,,0,0,7,Logistics Head,No,,No,No,No,195,1,0.85
2ca378a4-a9d3-4ea2-ac0f-486867ebf467,Retail,Turmeric|Quilts|Spices,,,0,16,0,,Yes,,No,No,No,23,1,0.6
b556b760-cdef-431a-aaa6-6efb3a81d0ec,Construction,Carpets|Quilts,,,5,9,6,,Yes,,No,No,No,14,1,0.73
3e5c45f2-d18e-4428-bd56-f88b6437faa8,Retail,Blankets|Ashwagandha|Rice,,,0,0,0,,No,,No,No,No,66,1,0.85
f8f0a48d-09eb-4f68-85ea-917e73f17310,Retail,Quilts|Ashwagandha|Carpets,FDA Approved|WHO-GMP,,0,0,0,Procurement Manager,Yes,New facility,No,No,No,29,1,0.53
5b3b684e-8ae8-424f-a8a2-233192d61376,Wholesale,Blankets|Carpets,,,2,0,3,Procurement Manager,No,,No,No,No,88,2,0.48
1b45b8e8-189f-439e-9bd0-cff68d0717ec,Wholesale,Carpets|Textiles,,,5,0,9,,No,,No,No,No,66,1,0.45
7e2d8c94-507f-4b9c-9103-141ff7702903,E-commerce,Spices|Ashwagandha|Carpets,WHO-GMP|Organic Certified,,0,0,0,,Yes,,No,No,No,29,4,0.42
76b9791e-022d-4913-8228-b0bf7f799169,Manufacturing,Ashwagandha,,,4,12,2,Procurement Manager,No,M&A,No,No,No,119,1,0.6
05291f90-0bd4-4d51-a5a9-9b66b5b559c7,E-commerce,Turmeric|Blankets,,,5,9,0,,No,,No,No,No,28,1,0.48
7090b450-134c-4b13-b4c5-d0e88972db45,Healthcare,Rice|Turmeric|Textiles,,,4,0,0,,No,,No,No,No,130,5,0.85
1312d563-539b-4c14-867d-1c6d5a2948a5,Healthcare,Turmeric|Blankets,,,3,13,0,,No,,No,No,No,129,1,0.99
0cfd56ac-0338-46b6-890b-6953b9672da5,Retail,Quilts|Turmeric,,,1,4,1,Procurement Manager,Yes,,No,No,No,52,4,0.62
2af2ddc6-ac73-4d9f-b099-db913c74b891,Healthcare,Turmeric,,,0,0,0,,No,,No,No,No,2,1,0.98
127a6182-ec55-48ba-8526-c1c50b510ca0,Healthcare,Ashwagandha,,,0,0,0,,No,,No,No,No,64,1,0.59
3439de5a-8543-4f0f-a13a-fcbb6943d18a,Retail,Blankets,,,0,0,0,,No,M&A,No,No,No,1,1,0.59
40ac7033-01fe-44ef-b686-21b88a62b316,Healthcare,Turmeric|Quilts,,,2,0,10,Logistics Head,No,,No,No,Yes,12,2,0.81
c32011ee-b251-40a7-9853-8a412ec3ef61,E-commerce,Carpets|Textiles|Ashwagandha,Fair Trade|Organic Certified,,4,0,0,,No,,No,No,No,24,1,0.47
830ff479-9233-400c-8494-d358aed8541f,Healthcare,Turmeric,,,0,0,0,,No,,No,No,No,24,1,0.46
eefa0946-d399-4f4b-8c07-48f8bd32e8fe,Manufacturing,Ashwagandha|Electronics,,,0,0,9,Logistics Head,No,,Yes,No,No,173,1,0.55
fb2ba8ed-186e-460c-ab06-b16f52ca1308,E-commerce,Rice|Carpets,FDA Approved|Organic Certified,,0,0,6,Procurement Manager,No,M&A,No,No,No,3,1,0.69
d288c640-da9a-461d-a247-124276475c99,E-commerce,Carpets|Rice|Turmeric,,,4,7,0,,No,,Yes,No,No,125,4,0.58
88f07ce8-ed1c-433e-9e70-911c7ef9f018,Construction,Carpets,,,0,0,0,,No,,Yes,No,No,62,1,0.65
139c2596-f2cf-4157-b750-d9add56c49e3,Distribution,Rice|Electronics,,,0,0,0,,No,New facility,No,No,No,52,1,0.51
ccf21483-f08b-47df-a1cb-a6cd420a945e,Wholesale,Rice|Blankets|Textiles,,,0,0,0,,No,,Yes,No,No,197,1,0.57
4e22ae8a-6ba1-4602-b6f1-00fbe0a33c23,E-commerce,Quilts|Carpets|Electronics,,,0,0,10,,No,,No,No,No,172,1,0.44
efd3b582-644d-4bee-97a2-07da1d4a3ff0,Healthcare,Blankets,FDA Approved|Organic Certified,Quote requested,4,7,4,,No,,No,No,No,33,1,0.57
a93d32b5-76c2-45c3-8129-c236706e69a0,Construction,Spices,,,4,8,0,Logistics Head,No,M&A,No,No,No,35,5,0.6
5097982b-3973-4ea6-acc6-cce29324f2f0,E-commerce,Blankets|Spices,FDA Approved|Fair Trade,Quote requested,0,0,7,Procurement Manager,No,,No,No,No,197,1,0.73
c13e8807-7adb-41e4-9222-0c72add2eb4e,Distribution,Spices|Textiles|Rice,,,0,0,0,,No,,No,No,No,54,1,0.41
82cb67ff-c3d7-4887-afc7-2b269a7c8850,Distribution,Blankets|Textiles|Carpets,,,0,0,0,Procurement Manager,No,,No,No,No,32,1,0.44
671037ee-3bfa-4982-9424-112f94769d17,E-commerce,Turmeric,Fair Trade,Quote requested,1,0,7,Logistics Head,Yes,,No,No,No,164,3,0.61
ab8429bd-8ec8-4356-aec9-e7f9cd4031fc,Healthcare,Quilts,,,2,0,8,Procurement Manager,No,,No,No,No,16,1,0.42
07b693b9-1196-474e-9a2b-c9ab838beffc,Wholesale,Spices,,,5,8,0,,No,,No,No,No,30,1,0.75
37876a33-cd41-4242-8701-ad1142e2ed69,Healthcare,Textiles,,,0,0,0,,Yes,,No,No,No,72,2,0.46
a158f0d2-f442-4961-9428-84a745fb8961,Construction,Ashwagandha|Turmeric|Rice,,,0,0,0,,No,,No,No,No,86,1,0.81
07f056a9-4bac-458c-b544-d91ebfad5de3,Healthcare,Blankets|Electronics,,,0,8,4,Procurement Manager,No,,No,No,No,14,1,0.97
