Rank,Company ID,Company Name,Total Score,Tier,Confidence,Reasons
1,98811462-cfde-42be-8e9d-a1e84f750962,Company_98811462,26.7,T3,High,Active website present; Strong Google Maps rating (4.7); Significant number of reviews (>50); Strong industry match (Retail); Serviceable geography (India); Product compatibility match: Ashwagandha; Sustained topic surge (3 topics); High pricing page visits; Import gap detected (supplier switch possible); Single stakeholder engaged; High stakeholder seniority (C-level/VP)
2,8f615aad-cb81-48b4-83e4-963682d5aeab,Company_8f615aad,0.0,Unqualified,High,Active website present; Average Google Maps rating (3.8); Partial industry match (Healthcare); High priority geography (Germany); Product compatibility match: Rice; Single stakeholder engaged; Medium stakeholder seniority (Director/Manager)
3,70e71ca8-738f-4e72-9e8e-68aea3216d13,Company_70e71ca8,0.0,Unqualified,High,Partial industry match (E-commerce); Serviceable geography (UAE); Product compatibility match: Turmeric; Broad buying committee (3 stakeholders); Medium stakeholder seniority (Director/Manager)
4,331be5e5-95ac-4608-8c7c-67908355a73e,Company_331be5e5,0.1,Unqualified,High,Strong industry match (Wholesale); High priority geography (USA); Product compatibility match: Rice; Single stakeholder engaged; High stakeholder seniority (C-level/VP)
5,046fa1f1-7446-4a0e-a9af-98fb3515fb33,Company_046fa1f1,0.5,Unqualified,High,Partial industry match (Healthcare); High priority geography (USA); Product compatibility match: Ashwagandha; High pricing page visits; Single stakeholder engaged; Medium stakeholder seniority (Director/Manager); Active competitor contract (–40%)
6,f733f314-77e4-4ae1-a5d3-81a482c598b1,Company_f733f314,3.0,Unqualified,High,Active website present; Strong Google Maps rating (4.8); Significant number of reviews (>50); Strong industry match (Retail); Serviceable geography (Netherlands); Product compatibility match: Rice; Strong operational certifications (WHO-GMP/ISO/FDA); Active hiring in operations/logistics; Minor topic surge (1 topics); High pricing page visits; Import gap detected (supplier switch possible); Broad buying committee (5 stakeholders); Medium stakeholder seniority (Director/Manager)
7,bc28cd10-8571-48d7-a00d-9fae0008fb4a,Company_bc28cd10,18.9,Unqualified,High,Active website present; Strong Google Maps rating (4.6); Significant number of reviews (>50); Partial industry match (Construction); High priority geography (Germany); No priority products found in portfolio (Quilts); Basic operational certifications present; Review site comparison activity; Import gap detected (supplier switch possible); Business trigger event (Funding round); Broad buying committee (5 stakeholders)
8,a69d0a63-b388-4c70-b8ae-5845628de53f,Company_a69d0a63,3.1,Unqualified,High,Partial industry match (E-commerce); Serviceable geography (Singapore); Product compatibility match: Turmeric; Sustained topic surge (4 topics); High pricing page visits; Business trigger event (Funding round); Single stakeholder engaged
9,5db07c19-71e0-46f8-9c0e-98ea63cb9838,Company_5db07c19,9.9,Unqualified,High,Active website present; Strong Google Maps rating (4.4); Significant number of reviews (>50); Partial industry match (Manufacturing); High priority geography (France); Product compatibility match: Turmeric; Minor topic surge (2 topics); Import gap detected (supplier switch possible); Broad buying committee (5 stakeholders); Medium stakeholder seniority (Director/Manager)
10,50fed773-f08f-417e-8fe2-0d5cf0687980,Company_50fed773,0.0,Unqualified,High,Partial industry match (Construction); High priority geography (France); Product compatibility match: Rice; Strong operational certifications (WHO-GMP/ISO/FDA); Sustained topic surge (5 topics); Review site comparison activity; Single stakeholder engaged; Medium stakeholder seniority (Director/Manager)
11,9f004b86-0ed8-4a23-8b98-8fcb182e86f7,Company_9f004b86,0.4,Unqualified,High,Partial industry match (E-commerce); Serviceable geography (Saudi Arabia); Product compatibility match: Rice; Multiple stakeholders engaged (2); High stakeholder seniority (C-level/VP)
12,8f556913-cb80-47ec-b371-469804108ce3,Company_8f556913,26.5,T1,High,Active website present; Strong Google Maps rating (4.1); Significant number of reviews (>50); Partial industry match (E-commerce); Serviceable geography (Qatar); No priority products found in portfolio (Textiles|Spices); Explicit sourcing action (RFP published); Sustained topic surge (3 topics); High pricing page visits; Multiple stakeholders engaged (2); Medium stakeholder seniority (Director/Manager)
13,8f44a040-79a8-4759-8cad-6752e232a372,Company_8f44a040,0.0,Unqualified,High,Active website present; Average Google Maps rating (3.7); Strong industry match (Wholesale); Serviceable geography (Qatar); Product compatibility match: Rice; Active hiring in operations/logistics; Review site comparison activity; Single stakeholder engaged; High stakeholder seniority (C-level/VP); Hiring freeze/layoffs (–25%)
14,f5b80feb-3fd1-4f7e-92c4-658f2d39933c,Company_f5b80feb,0.0,T1,High,Partial industry match (Healthcare); High priority geography (USA); Product compatibility match: Ashwagandha; Explicit sourcing action (Quote requested); Minor topic surge (2 topics); Business trigger event (New facility); Single stakeholder engaged
15,b9676e7b-cfa8-49ef-8c29-c88135ba2deb,Company_b9676e7b,1.1,Unqualified,High,Active website present; Strong Google Maps rating (4.9); Significant number of reviews (>50); Strong industry match (Wholesale); Serviceable geography (India); Product compatibility match: Turmeric; Strong operational certifications (WHO-GMP/ISO/FDA); Active hiring in operations/logistics; Minor topic surge (2 topics); High pricing page visits; Review site comparison activity; Business trigger event (M&A); Single stakeholder engaged; High stakeholder seniority (C-level/VP); Active competitor contract (–40%)
